,prov,soum,year,var,sd,mean,m
1,Dundgovi,Adaatsag,2019,cover,5.496703539,61.19917305,0.905964922
2,Dundgovi,Adaatsag,2019,ht,0.781463684,7.18529411,0.813248795
3,Dundgovi,Adaatsag,2019,vol,3.428932197,17.71231487,0.865347393
4,Dundgovi,Bayanjar,2019,cover,3.925350928,56.86177501,0.882244554
5,Dundgovi,Bayanjar,2019,ht,0.524546012,7.144196347,0.644980937
6,Dundgovi,Bayanjar,2019,vol,2.110497916,16.28999279,0.782820509
7,Dundgovi,Delgerkh,2019,cover,1.538156391,53.63935275,0.844017058
8,Dundgovi,Delgerkh,2019,ht,0.244200181,6.982916151,0.698766005
9,Dundgovi,Delgerkh,2019,vol,0.864843434,14.9985914,0.79676377
10,Dundgovi,Delgert,2019,cover,3.904995869,59.50141411,0.86404314
11,Dundgovi,Delgert,2019,ht,0.625282577,6.939314542,0.749805844
12,Dundgovi,Delgert,2019,vol,2.472248337,16.57064118,0.80906988
13,Dundgovi,Deren,2019,cover,4.271394994,60.94440544,0.903093795
14,Dundgovi,Deren,2019,ht,0.588445219,7.092355036,0.774272679
15,Dundgovi,Deren,2019,vol,2.519800398,17.351729,0.852228817
16,Dundgovi,Erdened,2019,cover,4.485086302,57.80942482,0.906849916
17,Dundgovi,Erdened,2019,ht,0.486412128,7.080364359,0.760351808
18,Dundgovi,Erdened,2019,vol,2.267941249,16.42253561,0.842490034
19,Dundgovi,Govi_Ugt,2019,cover,4.600929549,60.94283854,0.892960987
20,Dundgovi,Govi_Ugt,2019,ht,0.722361709,7.1903078,0.737174191
21,Dundgovi,Govi_Ugt,2019,vol,2.971189562,17.60329118,0.810444244
22,Dundgovi,Gurvansai,2019,cover,1.652448791,53.71590074,0.844201664
23,Dundgovi,Gurvansai,2019,ht,0.268587709,6.818280865,0.602175388
24,Dundgovi,Gurvansai,2019,vol,0.936465159,14.65906125,0.733391176
25,Dundgovi,Khuld,2019,cover,1.745223222,53.5202444,0.882343035
26,Dundgovi,Khuld,2019,ht,0.272611407,6.847381251,0.767946483
27,Dundgovi,Khuld,2019,vol,0.971759643,14.67136489,0.853327856
28,Dundgovi,Luus,2019,cover,2.18337277,54.08726543,0.808324127
29,Dundgovi,Luus,2019,ht,0.322057081,6.859469136,0.623050956
30,Dundgovi,Luus,2019,vol,1.193440475,14.85410261,0.741893953
31,Dundgovi,Ulziit,2019,cover,1.117933521,53.15097341,0.827677845
32,Dundgovi,Ulziit,2019,ht,0.234917852,6.789359423,0.765071913
33,Dundgovi,Ulziit,2019,vol,0.761588488,14.44117005,0.813491432
34,Dundgovi,Undurshil,2019,cover,1.775776291,54.30769948,0.822890744
35,Dundgovi,Undurshil,2019,ht,0.299801132,7.098657288,0.62340243
36,Dundgovi,Undurshil,2019,vol,1.083041834,15.43749237,0.741092167
37,Dundgovi,Saikhan_O,2019,cover,2.314916396,54.5684859,0.835994239
38,Dundgovi,Saikhan_O,2019,ht,0.338685533,6.891582169,0.621259769
39,Dundgovi,Saikhan_O,2019,vol,1.242135846,15.05257227,0.707379019
40,Dundgovi,Saintsag,2019,cover,2.533421101,54.90538836,0.845360337
41,Dundgovi,Saintsag,2019,ht,0.356238876,6.917097867,0.616379145
42,Dundgovi,Saintsag,2019,vol,1.343076718,15.2084702,0.753462333
43,Dundgovi,Tsagaan,2019,cover,5.180331537,63.07075092,0.901029305
44,Dundgovi,Tsagaan,2019,ht,0.906453382,7.411145282,0.813322497
45,Dundgovi,Tsagaan,2019,vol,3.794851533,18.83151351,0.8614008
46,Govisümber,Bayantal,2019,cover,3.249706049,71.95680672,0.851990097
47,Govisümber,Bayantal,2019,ht,1.009624107,9.026335418,0.846700946
48,Govisümber,Bayantal,2019,vol,4.05290229,26.09118895,0.848340733
49,Govisümber,Shiveegovi,2019,cover,3.929192239,58.84554828,0.870983837
50,Govisümber,Shiveegovi,2019,ht,0.388618505,7.308885648,0.646479482
51,Govisümber,Shiveegovi,2019,vol,1.787763249,17.22439488,0.790052162
52,Govisümber,SumberG,2019,cover,6.961807627,67.2243555,0.952669646
53,Govisümber,SumberG,2019,ht,1.349556988,8.405340198,0.889089217
54,Govisümber,SumberG,2019,vol,5.823001613,22.90221527,0.918887334
55,Töv,Altanbulag,2019,cover,4.028021248,73.15168475,0.801689215
56,Töv,Altanbulag,2019,ht,1.228038002,9.621275059,0.753904021
57,Töv,Altanbulag,2019,vol,4.991547621,28.28474387,0.763936582
58,Töv,Argalant,2019,cover,3.473804782,73.76596414,0.754901624
59,Töv,Argalant,2019,ht,1.035398617,9.884458278,0.713687587
60,Töv,Argalant,2019,vol,4.296252591,29.20450412,0.720058342
61,Töv,Arkhust,2019,cover,2.68115837,72.10072167,0.819337902
62,Töv,Arkhust,2019,ht,0.808702853,9.733510193,0.75783301
63,Töv,Arkhust,2019,vol,3.080527007,28.09393106,0.780506665
64,Töv,Batsumber,2019,cover,4.475959155,78.3340111,0.856553224
65,Töv,Batsumber,2019,ht,1.439987598,11.46892517,0.802217705
